"","X","Clade","Genus","Species","double","English","Bill","Mass","WingChord"
"1",1,"Coquettes","Adelomyia","melanogenys","Adelomyia melanogenys","Speckled Hummingbird",15.04,4.245,55.87
"3",3,"Coquettes","Aglaiocercus","coelestis","Aglaiocercus coelestis","Violet-tailed Sylph",16.25,6.07,68.68
"4",4,"Coquettes","Aglaiocercus","kingi","Aglaiocercus kingi","Long-tailed Sylph",15.77,5.53,67.12
"27",27,"Coquettes","Chalcostigma","herrani","Chalcostigma herrani","Rainbow-bearded Thornbill",12.42,6.25,69.39
"28",28,"Coquettes","Chalcostigma","heteropogon","Chalcostigma heteropogon","Bronze-tailed Thornbill",13.03,5.74,66.66
"29",29,"Coquettes","Chalcostigma","stanleyi","Chalcostigma stanleyi","Blue-mantled Thornbill",9.9,5,67.5
"54",54,"Coquettes","Discosura","conversii","Discosura conversii","Green Thorntail",12,2.65,42.56
"55",55,"Coquettes","Discosura","langsdorffi","Discosura langsdorffi","Black-bellied Thorntail",12.9,2.88,34.7
"56",56,"Coquettes","Discosura","popelairii","Discosura popelairii","Wire-crested Thorntail",10.6,2.6,35
"77",77,"Coquettes","Heliangelus","amethysticollis","Heliangelus amethysticollis","Amethyst-throated Sunangel",17.06,5.98,67.83
"78",78,"Coquettes","Heliangelus","exortis","Heliangelus exortis","Tourmaline Sunangel",15.65,5.2,65.75
"79",79,"Coquettes","Heliangelus","mavors","Heliangelus mavors","Orange-throated Sunangel",13.6,3.6,57
"80",80,"Coquettes","Heliangelus","micraster","Heliangelus micraster","Little Sunangel",14.3,5.35,62
"81",81,"Coquettes","Heliangelus","strophianus","Heliangelus strophianus","Gorgeted Sunangel",14.6909090909091,5.33636363636364,66.4090909090909
"82",82,"Coquettes","Heliangelus","viola","Heliangelus viola","Purple-throated Sunangel",13.89,5.86,62.9333333333333
"97",97,"Coquettes","Lesbia","nuna","Lesbia nuna","Green-tailed Trainbearer",10.37,3.66,51.54
"98",98,"Coquettes","Lesbia","victoriae","Lesbia victoriae","Black-tailed Trainbearer",14.66,5.29,59.75
"101",101,"Coquettes","Lophornis","delattrei","Lophornis delattrei","Rufous-crested Coquette",9.2,2.25,38.2
"102",102,"Coquettes","Metallura","baroni","Metallura baroni","Violet-throated Metaltail",12.88,4.2,56.6666666666667
"103",103,"Coquettes","Metallura","iracunda","Metallura iracunda","Perija Metaltail",11.7,4.17,60.68
"104",104,"Coquettes","Metallura","odomae","Metallura odomae","Neblina Metaltail",14.825,5.15,59.75
"105",105,"Coquettes","Metallura","tyrianthina","Metallura tyrianthina","Tyrian Metaltail",11.9220833333333,3.76166666666667,56.5683333333333
"106",106,"Coquettes","Metallura","williami","Metallura williami","Viridian Metaltail",14.2,4.3,56.65
"109",109,"Coquettes","Opisthoprora","euryptera","Opisthoprora euryptera","Mountain Avocetbill",12.7,6.75,67.5
"110",110,"Coquettes","Oreotrochilus","chimborazo","Oreotrochilus chimborazo","Ecuadorian Hillstar",18.125,8.6,73.25
"111",111,"Coquettes","Oxypogon","guerinii","Oxypogon guerinii","Bearded Helmetcrest",9.5,5.76,70.35
"131",131,"Coquettes","Ramphomicron","microrhynchum","Ramphomicron microrhynchum","Purple-backed Thornbill",7.74,3.67,49.85
